seId,targetAmount,monthYear
1,442000,2026-06-01
1,459000,2026-07-01
2,457000,2026-06-01
2,472000,2026-07-01
3,452000,2026-06-01
3,474000,2026-07-01
4,430000,2026-06-01
4,454000,2026-07-01
5,429000,2026-06-01
5,451000,2026-07-01
6,957000,2026-06-01
6,990000,2026-07-01
7,992000,2026-06-01
7,1063000,2026-07-01
8,433000,2026-06-01
8,451000,2026-07-01
9,456000,2026-06-01
9,491000,2026-07-01
10,705000,2026-06-01
10,740000,2026-07-01
11,471000,2026-06-01
11,486000,2026-07-01
12,725000,2026-06-01
12,757000,2026-07-01
13,675000,2026-06-01
13,699000,2026-07-01
14,687000,2026-06-01
14,736000,2026-07-01
15,242000,2026-06-01
15,256000,2026-07-01
16,253000,2026-06-01
16,265000,2026-07-01
17,251000,2026-06-01
17,259000,2026-07-01
18,669000,2026-06-01
18,696000,2026-07-01
19,713000,2026-06-01
19,750000,2026-07-01
20,442000,2026-06-01
20,468000,2026-07-01
21,448000,2026-06-01
21,468000,2026-07-01
22,463000,2026-06-01
22,493000,2026-07-01
23,682000,2026-06-01
23,722000,2026-07-01
24,251000,2026-06-01
24,270000,2026-07-01
25,716000,2026-06-01
25,748000,2026-07-01
26,472000,2026-06-01
26,489000,2026-07-01
27,248000,2026-06-01
27,265000,2026-07-01
28,434000,2026-06-01
28,458000,2026-07-01
29,429000,2026-06-01
29,456000,2026-07-01
30,462000,2026-06-01
30,489000,2026-07-01
31,726000,2026-06-01
31,759000,2026-07-01
32,459000,2026-06-01
32,486000,2026-07-01
33,454000,2026-06-01
33,478000,2026-07-01
34,465000,2026-06-01
34,501000,2026-07-01
35,249000,2026-06-01
35,265000,2026-07-01
36,239000,2026-06-01
36,255000,2026-07-01
37,1015000,2026-06-01
37,1096000,2026-07-01
38,1032000,2026-06-01
38,1078000,2026-07-01
39,445000,2026-06-01
39,473000,2026-07-01
40,952000,2026-06-01
40,1003000,2026-07-01
41,242000,2026-06-01
41,251000,2026-07-01
42,430000,2026-06-01
42,459000,2026-07-01
43,433000,2026-06-01
43,451000,2026-07-01
44,445000,2026-06-01
44,478000,2026-07-01
45,671000,2026-06-01
45,706000,2026-07-01
46,703000,2026-06-01
46,755000,2026-07-01
47,464000,2026-06-01
47,498000,2026-07-01
48,244000,2026-06-01
48,256000,2026-07-01
49,690000,2026-06-01
49,741000,2026-07-01
50,261000,2026-06-01
50,271000,2026-07-01
